"lon";"lat";"PM10";"PM25";"NO2";"O3"
-5;41;14.6078767776489;9.23631381988525;1.17375206947327;49.8213806152344
-4.84999990463257;41;14.7024831771851;9.46603679656982;1.22280776500702;49.6576995849609
-4.69999980926514;41;14.6190233230591;9.5574836730957;1.38748645782471;49.4101104736328
-4.55000019073486;41;14.233904838562;9.38091945648193;1.43349289894104;49.3860893249512
-4.40000009536743;41;14.1261682510376;9.48255062103271;1.56708776950836;49.1825370788574
-4.25;41;13.8993949890137;9.48023319244385;1.99120688438416;48.7405738830566
-4.09999990463257;41;13.4390497207642;8.99661445617676;2.30427479743958;48.5359230041504
-3.95000004768372;41;12.210729598999;8.28675079345703;2.26904296875;48.4157333374023
-3.79999995231628;41;10.8394222259521;7.55252599716187;2.19043755531311;48.148509979248
-3.65000009536743;41;10.4373149871826;7.13807344436646;2.19431781768799;48.4926643371582
-3.5;41;9.490403175354;6.64610624313354;2.05382776260376;48.2867012023926
-3.34999990463257;41;9.34595489501953;6.56857347488403;1.54064977169037;48.9278106689453
-3.20000004768372;41;9.59924411773682;6.74311351776123;1.09897482395172;49.243091583252
-3.04999995231628;41;10.4808473587036;7.25088119506836;1.0438768863678;49.287036895752
-2.90000009536743;41;11.4058380126953;7.72792291641235;1.06575739383698;49.196346282959
-2.75;41;11.3987321853638;7.79736995697021;1.02270948886871;49.097526550293
-2.59999990463257;41;12.0510931015015;8.01442337036133;0.897756218910217;49.3396987915039
-2.45000004768372;41;11.7526931762695;7.85533380508423;0.908743798732758;49.3005867004395
-2.29999995231628;41;11.2499294281006;7.58091735839844;0.933594048023224;49.2533874511719
-2.15000009536743;41;11.0917024612427;7.54784202575684;0.959067821502686;49.2441596984863
-2;41;11.2915887832642;7.69049501419067;0.915562391281128;49.357852935791
-1.85000002384186;41;11.8412303924561;7.91654348373413;0.903729677200317;49.4905052185059
-1.70000004768372;41;12.3393211364746;8.07754611968994;0.959214627742767;49.4776344299316
-1.54999995231628;41;14.0652799606323;8.29147911071777;0.935273230075836;50.0449829101562
-1.39999997615814;41;12.2097568511963;8.04738903045654;0.888711750507355;49.8015937805176
-1.25;41;12.5427045822144;8.06802082061768;0.901261925697327;49.9965934753418
-1.10000002384186;41;11.6371641159058;7.71785020828247;0.843927264213562;49.7744064331055
-0.949999988079071;41;11.5777397155762;7.67488813400269;0.777255892753601;49.7925567626953
-0.800000011920929;41;11.7255964279175;7.76190233230591;0.779954016208649;49.8626174926758
-0.649999976158142;41;11.8463439941406;7.8197455406189;0.857086300849915;50.0007095336914
-0.5;41;12.2862663269043;8.11732006072998;0.925188541412354;50.0689544677734
-0.349999994039536;41;12.7961730957031;8.5000581741333;0.984195530414581;50.140998840332
-0.200000002980232;41;12.8631687164307;8.58542919158936;1.12194418907166;50.248218536377
-0.0500000007450581;41;12.4793176651001;8.30294799804688;1.2891982793808;50.394645690918
0.100000001490116;41;11.1313753128052;7.44400262832642;1.4139039516449;50.3578643798828
0.25;41;10.4951763153076;7.07612276077271;1.66535329818726;49.8457946777344
0.400000005960464;41;9.59209251403809;6.4981746673584;2.12375354766846;49.2200050354004
0.550000011920929;41;8.6629056930542;5.80973720550537;2.34853720664978;49.4350509643555
0.699999988079071;41;8.25768947601318;5.39098834991455;2.50098967552185;49.9037742614746
0.850000023841858;41;7.88074588775635;5.0097336769104;2.55474615097046;50.7545318603516
1;41;7.66589069366455;4.67784214019775;1.91197264194489;53.6160888671875
1.14999997615814;41;7.43819332122803;4.5105767250061;1.744873046875;54.994556427002
1.29999995231628;41;7.00240278244019;4.19173860549927;1.7190660238266;56.5278930664062
1.45000004768372;41;6.79170560836792;4.02024555206299;1.7147411108017;57.6353797912598
1.60000002384186;41;6.68196582794189;3.94709897041321;1.71937394142151;58.409252166748
1.75;41;6.69446563720703;3.97228932380676;2.1562557220459;58.6906623840332
1.89999997615814;41;6.74349069595337;4.03346920013428;2.61245250701904;58.8776206970215
2.04999995231628;41;6.93769121170044;4.23835706710815;2.88445329666138;58.8665466308594
2.20000004768372;41;7.17579078674316;4.47204637527466;3.2074921131134;58.5742988586426
2.34999990463257;41;6.95821905136108;4.31486034393311;2.89127969741821;58.9463157653809
2.5;41;6.81447076797485;4.08757781982422;2.58816719055176;58.3197288513184
2.65000009536743;41;7.30544424057007;4.03538703918457;2.34885478019714;55.2710952758789
2.79999995231628;41;7.87019920349121;4.09219121932983;1.76893663406372;52.6766357421875
2.95000004768372;41;8.73686122894287;4.29046201705933;1.39185404777527;51.8742790222168
3.09999990463257;41;9.88343238830566;4.60790109634399;1.10910272598267;51.6470947265625
3.25;41;11.1056976318359;4.98673582077026;0.795572817325592;51.5744361877441
3.40000009536743;41;12.3652753829956;5.38568162918091;0.613679349422455;51.4384422302246
3.54999995231628;41;13.5064315795898;5.74790000915527;0.587591469287872;51.2672119140625
3.70000004768372;41;14.3279314041138;5.99838161468506;0.549455940723419;51.217643737793
3.84999990463257;41;14.75758934021;6.1085410118103;0.480899214744568;51.4259452819824
4;41;14.9360380172729;6.1248722076416;0.475015431642532;51.9222640991211
4.15000009536743;41;14.8145360946655;6.02916574478149;0.484251827001572;52.4889450073242
4.30000019073486;41;14.5672359466553;5.94055795669556;0.518704235553741;52.9327659606934
4.44999980926514;41;14.463171005249;5.94296836853027;0.566819071769714;53.3120155334473
4.59999990463257;41;14.4398231506348;5.98361301422119;0.599932670593262;53.8360595703125
4.75;41;14.2581071853638;5.9040732383728;0.587768197059631;54.4592247009277
4.90000009536743;41;14.0588617324829;5.7894172668457;0.585577845573425;54.865119934082
